Summary transaction information from 2018-06-01 00:00:00 to 2018-08-31 00:00:00
Term_id Transaction_id Datetime Org_id Amount Account
1049 341 2018-06-13 13:18:50 27 4890213 75850
304 66 2018-06-13 13:18:51 30 3830925 1210434
304 67 2018-06-13 13:18:52 8 6314024 1338366
304 68 2018-06-13 13:18:52 26 2677334 221635
1049 342 2018-06-13 13:18:53 18 8868355 802274
7 63 2018-06-13 13:18:53 10 8985269 1456499
304 69 2018-06-13 13:18:54 24 4267364 11868
1049 345 2018-06-13 13:19:41 10 5452730 645510
1049 346 2018-06-13 13:19:42 18 2018093 22974
250 62 2018-06-13 13:19:42 19 3075083 222548
1049 347 2018-06-13 13:19:43 24 5156584 21873
7 66 2018-06-13 13:19:43 15 5273549 914154
250 63 2018-06-13 13:19:44 7 3075695 663622
304 71 2018-06-13 13:19:44 1 3706797 1381437
7 67 2018-06-13 13:19:45 5 8908395 961140
7 68 2018-06-13 13:19:45 27 1510732 973185
55 74 2018-06-13 13:19:46 2 3798856 848615
7 69 2018-06-13 13:19:46 14 9625463 1208322
7 70 2018-06-13 13:19:47 13 2428306 49957
55 75 2018-06-13 13:19:47 18 8980912 353353
55 76 2018-06-13 13:19:48 2 5085664 174017
7 71 2018-06-13 13:19:48 20 4053764 1273845
304 72 2018-06-13 13:19:49 14 4208005 1238790
7 72 2018-06-13 13:19:49 24 9674127 693973
250 64 2018-06-13 13:19:50 20 8565849 1220346
55 77 2018-06-13 13:19:50 19 2916811 818070
7 73 2018-06-13 13:19:51 23 7733736 29529
7 74 2018-06-13 13:19:51 23 6018452 1247967
55 78 2018-06-13 13:19:52 12 9308431 832634
55 79 2018-06-13 13:19:52 16 6518424 952350
7 75 2018-06-13 13:19:53 8 1984526 220801
304 73 2018-06-13 13:19:53 10 8246918 1143685
304 75 2018-06-13 13:19:54 11 7297518 1095019
304 76 2018-06-13 13:19:55 24 2592305 497922
250 65 2018-06-13 13:19:55 14 3585851 581580
250 66 2018-06-13 13:19:56 25 9226917 1148400
7 76 2018-06-13 13:19:56 22 1178616 692228
250 67 2018-06-13 13:19:57 26 8855496 1278029
304 77 2018-06-13 13:19:57 7 4686291 777098
55 80 2018-06-13 13:19:58 28 5131624 598005
55 81 2018-06-13 13:19:58 24 2433090 502066
1049 348 2018-06-13 13:19:59 7 4868684 613983
250 68 2018-06-13 13:19:59 1 6331348 1149837
304 78 2018-06-13 13:20:00 25 8581277 830103
250 69 2018-06-13 13:20:00 5 5177731 782039
304 79 2018-06-13 13:20:01 4 1622644 1380355
250 70 2018-06-13 13:20:01 19 6247490 767953
250 71 2018-06-13 13:20:02 4 4418970 58446
1049 349 2018-06-13 13:20:02 5 6813503 376085
7 77 2018-06-13 13:20:03 6 3190427 430576
304 80 2018-06-13 13:20:03 17 5512239 1235032
7 78 2018-06-13 13:20:04 11 2979051 1445326
1049 350 2018-06-13 13:20:05 26 6483177 17679
1049 351 2018-06-13 13:20:05 20 1303155 1302593
250 72 2018-06-13 13:20:06 23 4413516 208430
304 81 2018-06-13 13:20:06 24 8664477 678161
304 82 2018-06-13 13:20:07 2 3460491 1303763
304 83 2018-06-13 13:20:07 6 1341869 910951
250 73 2018-06-13 13:20:08 1 4204749 1347055
1049 352 2018-06-13 13:20:09 3 8045628 1413602
250 74 2018-06-13 13:20:09 18 5730369 508461
55 82 2018-06-13 13:20:10 16 7917117 186994
250 75 2018-06-13 13:20:10 3 1788023 773615
55 83 2018-06-13 13:20:11 3 6560575 313053
1049 353 2018-06-13 13:20:11 12 3627014 398066
304 84 2018-06-13 13:20:12 4 9943309 1457967
7 80 2018-06-13 13:20:12 25 3417528 1337206
1049 354 2018-06-13 13:20:13 5 8678178 1187464
1049 355 2018-06-13 13:20:14 30 4213834 64778
55 84 2018-06-13 13:20:14 29 9019058 1063684
1049 356 2018-06-13 13:20:15 16 9247197 1306767
250 77 2018-06-13 13:20:15 13 1909107 902161
250 78 2018-06-13 13:20:16 8 1023655 478924
304 86 2018-06-13 13:20:17 23 7128589 13388
304 87 2018-06-13 13:20:17 8 3959197 315097
55 85 2018-06-13 13:20:18 24 8989147 270525
1049 357 2018-06-13 13:20:18 7 7351992 453203
55 86 2018-06-13 13:20:19 1 4083815 1389316
55 87 2018-06-13 13:20:19 7 9103991 1150321
1049 358 2018-06-13 13:20:20 6 8382332 1363043
304 88 2018-06-13 13:20:20 12 7281048 232782
7 81 2018-06-13 13:20:21 13 5472050 104451
304 89 2018-06-13 13:20:21 20 5709888 951134
250 79 2018-06-13 13:20:22 22 7977371 917089
304 90 2018-06-13 13:20:22 18 8116499 1390073
1049 359 2018-06-13 13:20:23 27 3805978 381798
55 89 2018-06-13 13:20:24 25 8398404 449481
250 80 2018-06-13 13:20:24 16 6901081 217929
304 91 2018-06-13 13:20:25 22 8515712 269287
7 82 2018-06-13 13:20:25 30 2151012 1228369
1049 360 2018-06-13 13:20:26 29 4390379 762638
7 83 2018-06-13 13:20:27 21 1321755 982050
7 84 2018-06-13 13:20:27 23 1021113 818934
1049 362 2018-06-13 13:20:28 11 4654700 1265536
304 92 2018-06-13 13:20:28 3 1928246 676013
304 93 2018-06-13 13:20:29 28 3888429 582871
304 94 2018-06-13 13:20:29 7 8880489 427847
1049 363 2018-06-13 13:20:30 5 9384530 629014
1049 364 2018-06-13 13:20:30 30 8928565 228776
1049 365 2018-06-13 13:20:31 22 7883014 814372
304 95 2018-06-13 13:20:32 16 7054779 308857
7 85 2018-06-13 13:20:32 4 7076405 926778
304 96 2018-06-13 13:20:33 20 4268448 1044081
1049 366 2018-06-13 13:20:33 23 3069866 326343
55 90 2018-06-13 13:20:34 8 1059877 511047
55 91 2018-06-13 13:20:34 3 4520049 1081837
250 81 2018-06-13 13:20:35 14 9288026 1443346
304 97 2018-06-13 13:20:35 26 5721225 93724
1049 367 2018-06-13 13:20:36 17 3268122 221984
1049 368 2018-06-13 13:20:36 5 7172839 897638
1049 369 2018-06-13 13:20:37 21 5666226 1310932
1049 370 2018-06-13 13:20:37 10 7915786 544391
304 98 2018-06-13 13:20:38 15 4373854 1019369
55 92 2018-06-13 13:20:38 20 3302485 516958
7 86 2018-06-13 13:20:39 12 9589230 693786
250 82 2018-06-13 13:20:39 4 3101378 1431146
304 99 2018-06-13 13:20:40 25 6411132 855354
7 87 2018-06-13 13:20:40 23 1744037 476825
304 100 2018-06-13 13:20:41 14 5898843 1383356
250 83 2018-06-13 13:20:41 10 3798551 802492
250 84 2018-06-13 13:20:42 25 9050860 1449490
7 88 2018-06-13 13:20:42 3 8683543 1268373
250 85 2018-06-13 13:20:43 11 5807181 884639
7 89 2018-06-13 13:20:43 4 9519668 1211722
304 101 2018-06-13 13:20:44 6 3494439 1161138
55 93 2018-06-13 13:20:44 6 8988048 651592
7 90 2018-06-13 13:20:45 28 3337876 597386
55 94 2018-06-13 13:20:45 20 3800222 814971
55 95 2018-06-13 13:20:46 7 2930598 1300842
7 91 2018-06-13 13:20:46 3 4264724 969842
250 86 2018-06-13 13:20:47 7 1544710 596250
250 87 2018-06-13 13:20:47 24 4465377 1200967
1049 371 2018-06-13 13:20:48 13 9406084 292975
7 93 2018-06-13 13:20:49 22 3651157 311244
55 96 2018-06-13 13:20:49 3 7720654 39760
1049 372 2018-06-13 13:20:50 21 5622262 1059734
304 103 2018-06-13 13:20:51 22 8525140 422946
304 104 2018-06-13 13:20:51 10 5494824 1208015
304 105 2018-06-13 13:20:52 23 6260165 437271
55 97 2018-06-13 13:20:53 10 7656172 1318779
250 89 2018-06-13 13:20:53 16 1244369 18530
250 90 2018-06-13 13:20:54 30 7276531 1331640
55 98 2018-06-13 13:20:54 17 5479232 916560
304 106 2018-06-13 13:20:55 23 7668126 656601
55 99 2018-06-13 13:20:55 10 4072467 1204466
304 107 2018-06-13 13:20:56 12 7431201 1023187
7 94 2018-06-13 13:20:57 11 4160702 84505
304 108 2018-06-13 13:20:57 20 1960867 860559
304 109 2018-06-13 13:20:58 6 9729884 1196768
1049 373 2018-06-13 13:20:58 21 8029048 669292
250 91 2018-06-13 13:20:59 5 7108405 856176
7 95 2018-06-13 13:20:59 7 6781873 334269
250 92 2018-06-13 13:21:00 13 5059831 884749
1049 374 2018-06-13 13:21:00 19 2481444 511386
7 96 2018-06-13 13:21:01 3 2344095 312586
7 97 2018-06-13 13:21:01 18 8637328 483726
7 98 2018-06-13 13:21:02 2 7520772 595454
7 99 2018-06-13 13:21:02 12 2369735 1271818
1049 375 2018-06-13 13:21:03 3 4349967 885877
7 100 2018-06-13 13:21:03 8 8707228 216459
250 93 2018-06-13 13:21:04 13 9444464 1065294
55 100 2018-06-13 13:21:04 10 7509649 516449
55 101 2018-06-13 13:21:05 9 7994278 814201
304 110 2018-06-13 13:21:05 1 1155727 772311
250 94 2018-06-13 13:21:06 19 6806725 79304
7 101 2018-06-13 13:21:06 11 9063844 672063
1049 376 2018-06-13 13:21:07 5 8669515 584160
55 103 2018-06-13 13:21:08 10 7736572 630114
250 95 2018-06-13 13:21:08 15 2747370 737578
7 102 2018-06-13 13:21:09 7 1396446 1200164
55 104 2018-06-13 13:21:09 19 9674148 298718
250 96 2018-06-13 13:21:10 13 6639518 217743
7 103 2018-06-13 13:21:11 23 4026930 1230755
1049 378 2018-06-13 13:21:11 29 4167748 1431437
304 111 2018-06-13 13:21:12 17 1305727 655968
7 104 2018-06-13 13:21:12 8 4724100 1149858
304 112 2018-06-13 13:21:13 1 4453538 85444
1049 379 2018-06-13 13:21:13 28 3688616 648352
7 105 2018-06-13 13:21:14 9 2682294 863752
7 106 2018-06-13 13:21:14 21 2673017 1180098
55 105 2018-06-13 13:21:15 7 6236012 1122943
250 97 2018-06-13 13:21:15 30 1728160 32804
55 106 2018-06-13 13:21:16 7 4468830 1080542
1049 380 2018-06-13 13:21:16 19 9939096 790516
250 98 2018-06-13 13:21:17 9 4496329 1450756
55 107 2018-06-13 13:21:17 20 2086890 1154282
55 108 2018-06-13 13:21:18 20 8585430 742162
7 107 2018-06-13 13:21:18 1 8064565 982016
250 99 2018-06-13 13:21:19 7 3367747 700521
250 100 2018-06-13 13:21:19 6 1914591 107561
7 109 2018-06-13 13:21:21 28 6741840 295244
304 113 2018-06-13 13:21:21 26 3804571 54638
304 114 2018-06-13 13:21:22 5 3293341 289337
7 110 2018-06-13 13:21:22 26 2216320 893975
55 109 2018-06-13 13:21:23 5 6959062 440322
7 111 2018-06-13 13:21:23 5 5135968 251284
304 115 2018-06-13 13:21:24 18 9765525 173825
7 112 2018-06-13 13:21:24 27 5131668 178566
55 110 2018-06-13 13:21:25 14 7971399 46093
1049 381 2018-06-13 13:21:25 9 8383859 970258
304 116 2018-06-13 13:21:26 21 3174908 638236
7 113 2018-06-13 13:21:26 18 4142643 494490
7 114 2018-06-13 13:21:27 14 3466966 1199084
250 101 2018-06-13 13:21:27 27 9834784 780947
55 111 2018-06-13 13:21:28 11 7175041 458964
250 102 2018-06-13 13:21:28 1 8389930 645193
1049 382 2018-06-13 13:21:29 9 4937197 1324418
7 115 2018-06-13 13:21:29 13 9725211 1334381
55 112 2018-06-13 13:21:30 9 2018077 885263
7 116 2018-06-13 13:21:30 15 4756722 747751
304 117 2018-06-13 13:21:31 23 5376477 1134689
1049 383 2018-06-13 13:21:31 18 4262136 272794
55 113 2018-06-13 13:21:32 22 1542550 879967
250 103 2018-06-13 13:21:32 2 8733675 743138
250 104 2018-06-13 13:21:33 20 7965281 57103
1049 384 2018-06-13 13:21:33 10 8761698 1343688
304 118 2018-06-13 13:21:34 17 4460616 1239771
1049 385 2018-06-13 13:21:34 7 7170223 1395330
7 117 2018-06-13 13:21:35 21 7781274 1339247
7 118 2018-06-13 13:21:35 13 3130959 1318434
7 119 2018-06-13 13:21:36 3 7101900 37221
250 105 2018-06-13 13:21:36 26 5667749 362877
7 120 2018-06-13 13:21:37 20 7189254 469482
1049 386 2018-06-13 13:21:39 12 7189583 331305
304 120 2018-06-13 13:21:39 28 1368589 863466
1049 387 2018-06-13 13:21:40 30 8842510 875347
250 107 2018-06-13 13:21:40 5 2862579 532186
1049 388 2018-06-13 13:21:41 5 1973610 1087696
304 121 2018-06-13 13:21:42 4 6555518 526459
304 122 2018-06-13 13:21:42 24 2173735 513178
250 108 2018-06-13 13:21:43 4 3326372 520672
7 121 2018-06-13 13:21:43 29 7549361 12452
55 114 2018-06-13 13:21:44 26 7029620 1084940
1049 390 2018-06-13 13:21:44 30 2430986 559509
55 115 2018-06-13 13:21:45 28 3908990 971035
1049 391 2018-06-13 13:21:45 17 2995869 1240175
250 109 2018-06-13 13:21:46 8 1371386 629494
7 122 2018-06-13 13:21:46 11 8342968 342671
55 116 2018-06-13 13:21:47 12 3536779 97549
250 110 2018-06-13 13:21:47 25 5029133 33783
1049 392 2018-06-13 13:21:48 23 9985357 204004
1049 393 2018-06-13 13:21:48 19 9363353 500017
55 117 2018-06-13 13:21:49 22 6189727 617348
7 123 2018-06-13 13:21:49 19 6759541 566436
304 123 2018-06-13 13:21:50 12 3531799 223061
55 119 2018-06-13 13:21:51 11 3981007 102878
55 120 2018-06-13 13:21:51 15 6893229 646203
7 124 2018-06-13 13:21:52 5 6666290 1171605
1049 394 2018-06-13 13:21:52 18 3012059 1346881
250 111 2018-06-13 13:21:53 17 7076410 264838
1049 395 2018-06-13 13:21:54 3 7764917 1094441
7 126 2018-06-13 13:21:54 26 6195787 751956
1049 396 2018-06-13 13:21:55 29 9419629 693933
55 121 2018-06-13 13:21:55 2 1432014 1383798
55 122 2018-06-13 13:21:56 7 9434652 131996
55 123 2018-06-13 13:21:56 26 9050540 371216
7 127 2018-06-13 13:21:57 17 6728533 424430
7 128 2018-06-13 13:21:57 13 2891869 622805
7 129 2018-06-13 13:21:58 8 7436729 779103
55 124 2018-06-13 13:21:58 19 1326824 1499538
250 112 2018-06-13 13:21:59 3 5151720 1408576
250 113 2018-06-13 13:21:59 18 9770195 1409382
55 125 2018-06-13 13:22:00 25 2539912 1409808
7 130 2018-06-13 13:22:00 1 5695936 972826
1049 397 2018-06-13 13:22:01 23 1825164 717529
304 124 2018-06-13 13:22:01 8 6405220 870114
250 115 2018-06-14 10:02:52 5 9976548 1249555
55 127 2018-06-14 10:02:52 3 8423606 450549
250 116 2018-06-14 10:02:53 7 7563336 1461164
55 128 2018-06-14 10:02:53 12 4898223 1138478
1049 399 2018-06-14 10:02:54 7 5485124 1150433
1049 400 2018-06-14 10:02:54 9 7990973 330820
250 117 2018-06-14 10:02:55 14 9375750 97074
304 126 2018-06-14 10:02:55 10 1471157 587478
1049 401 2018-06-14 10:02:56 26 2607616 386402
1049 402 2018-06-14 10:02:56 22 8077401 1066448
7 132 2018-06-14 10:02:57 18 8955460 513372
7 133 2018-06-14 10:02:57 18 9756598 204905
250 118 2018-06-14 10:02:58 24 6933608 1076841
7 134 2018-06-14 10:02:58 27 1891954 176870
7 135 2018-06-14 10:02:59 13 6059533 944872
250 119 2018-06-14 10:02:59 17 3699441 200536
1049 403 2018-06-14 10:03:00 12 2154245 1478452
1049 405 2018-06-14 10:03:01 16 8935281 306335
250 120 2018-06-14 10:03:01 5 4690720 463938
250 121 2018-06-14 10:03:02 24 7348769 423639
304 127 2018-06-14 10:03:02 3 5595585 1301172
55 129 2018-06-14 10:03:03 21 4063037 185446
55 130 2018-06-14 10:03:03 19 4138945 1161508
7 136 2018-06-14 10:03:04 22 2557930 351891
55 131 2018-06-14 10:03:04 3 2676833 428365
304 128 2018-06-14 10:03:05 23 8988095 935133
7 137 2018-06-14 10:03:05 2 1547589 606620
7 138 2018-06-14 10:03:06 26 7031227 1445057
1049 406 2018-06-14 10:03:06 16 6406767 1339113
7 139 2018-06-14 10:03:07 11 5807670 262916
55 132 2018-06-14 10:03:07 30 9365411 509834
55 133 2018-06-14 10:03:08 23 4053586 1196383
304 129 2018-06-14 10:03:08 5 4991822 213312
1049 407 2018-06-14 10:03:09 7 4369559 216661
7 140 2018-06-14 10:03:09 13 1606949 824651
7 141 2018-06-14 10:03:10 26 2195563 12760
304 130 2018-06-14 10:03:11 12 9727555 1158770
250 122 2018-06-14 10:03:11 16 3805696 741514
1049 408 2018-06-14 10:03:12 6 1741347 1203623
7 142 2018-06-14 10:03:12 27 5971650 446916
304 131 2018-06-14 10:03:13 4 2846831 376412
304 132 2018-06-14 10:03:14 16 9611329 573241
250 124 2018-06-14 10:03:14 11 6165781 731154
7 143 2018-06-14 10:03:15 15 1823232 165410
7 144 2018-06-14 10:03:15 27 2269381 109502
1049 409 2018-06-14 10:03:16 22 3822480 555811
55 135 2018-06-14 10:03:16 4 1695931 1492579
55 136 2018-06-14 10:03:17 14 4627110 1027358
7 145 2018-06-14 10:03:17 15 5604051 1038892
7 147 2018-06-14 10:03:18 30 3225283 178327
1049 410 2018-06-14 10:03:19 10 6693445 1011270
55 137 2018-06-14 10:03:19 6 1850221 916042
7 148 2018-06-14 10:03:20 11 6196314 802222
250 125 2018-06-14 10:03:20 26 2307344 641040
304 133 2018-06-14 10:03:21 25 3925925 1272225
1049 411 2018-06-14 10:03:21 4 9803464 985310
250 126 2018-06-14 10:03:22 5 7489659 1286992
304 134 2018-06-14 10:03:22 21 4765769 126598
55 138 2018-06-14 10:03:23 30 9834517 1073213
250 127 2018-06-14 10:03:23 1 8604944 1266026
304 135 2018-06-14 10:03:24 19 9036072 911060
250 128 2018-06-14 10:03:24 27 1473324 1293132
1049 412 2018-06-14 10:03:25 18 9224142 1303033
304 137 2018-06-14 10:03:26 30 5530103 830379
1049 413 2018-06-14 10:03:26 15 4227888 1432842
250 129 2018-06-14 10:03:27 29 7537332 1125516
304 138 2018-06-14 10:03:27 28 4798702 769044
250 130 2018-06-14 10:03:28 6 2265792 244761
55 139 2018-06-14 10:03:28 13 4943872 1132554
55 140 2018-06-14 10:03:29 18 8197026 75855
304 139 2018-06-14 10:03:29 12 5768044 1381688
55 141 2018-06-14 10:03:30 24 4971699 293544
7 149 2018-06-14 10:03:30 1 7755029 108357
1049 414 2018-06-14 10:03:31 29 4704989 1071198
55 142 2018-06-14 10:03:31 7 6478035 684471
1049 415 2018-06-14 10:03:32 10 9690175 400768
1049 416 2018-06-14 10:03:32 24 9078715 555536
250 131 2018-06-14 10:03:33 5 2007359 1147898
304 140 2018-06-14 10:03:34 21 8796365 332024
7 150 2018-06-14 10:03:34 20 7821406 462833
250 132 2018-06-14 10:03:35 4 5757895 695100
7 151 2018-06-14 10:03:35 25 2714949 124930
55 143 2018-06-14 10:03:36 18 9804490 470585
250 133 2018-06-14 10:03:36 12 3454589 579192
250 134 2018-06-14 10:03:37 19 4380236 508972
55 144 2018-06-14 10:03:37 6 5549047 534164
1049 418 2018-06-14 10:03:38 16 1795675 1489718
1049 419 2018-06-14 10:03:38 28 6716497 1046279
304 141 2018-06-14 10:03:39 21 7635841 1489789
250 135 2018-06-14 10:03:39 15 6722578 575591
1049 420 2018-06-14 10:03:40 21 3916983 214797
304 142 2018-06-14 10:03:41 1 2938794 1148191
1049 421 2018-06-14 10:03:41 10 9327688 539523
55 145 2018-06-14 10:03:42 5 6231028 1181432
55 146 2018-06-14 10:03:42 5 5221992 351030
250 137 2018-06-14 10:03:43 23 3098107 1315981
55 147 2018-06-14 10:03:43 13 1878691 509716
304 143 2018-06-14 10:03:44 22 2962950 278576
304 144 2018-06-14 10:03:44 3 3738522 1037024
250 138 2018-06-14 10:03:45 13 9905859 665978
55 148 2018-06-14 10:03:45 22 4758490 44147
1049 422 2018-06-14 10:03:46 20 9058678 52163
7 152 2018-06-14 10:03:46 5 2445280 794484
250 139 2018-06-14 10:03:47 6 4616486 167654
7 153 2018-06-14 10:03:47 19 5432793 52342
250 140 2018-06-14 10:03:48 25 5061162 324052
7 154 2018-06-14 10:03:48 27 2972378 1424105
7 155 2018-06-14 10:03:49 10 9417205 992806
55 149 2018-06-14 10:03:49 22 6084796 793035
7 156 2018-06-14 10:03:50 18 8423058 1289101
7 157 2018-06-14 10:03:50 19 9100163 484835
1049 423 2018-06-14 10:03:51 24 5655646 905440
1049 424 2018-06-14 10:03:51 17 1494570 1482450
7 158 2018-06-14 10:03:52 27 8541620 515143
7 159 2018-06-14 10:03:53 28 1669975 1337220
55 151 2018-06-14 10:03:53 20 9972579 732674
